epoch 35 | loss: 2695.02124| train_rmsle: 1.65887 | train_mae: 47.41308| train_rmse: 48.77144| train_mse: 2378.65355| valid_rmsle: 1.46914 | valid_mae: 43.14336| valid_rmse: 45.18235| valid_mse: 2041.44515|  0:00:04s
epoch 36 | loss: 2611.47949| train_rmsle: 1.57111 | train_mae: 46.13726| train_rmse: 47.53579| train_mse: 2259.65149| valid_rmsle: 1.41506 | valid_mae: 42.33094| valid_rmse: 44.3257 | valid_mse: 1964.76769|  0:00:04s
epoch 37 | loss: 2550.11377| train_rmsle: 1.50727 | train_mae: 45.24238| train_rmse: 46.66563| train_mse: 2177.6813| valid_rmsle: 1.36643 | valid_mae: 41.65088| valid_rmse: 43.58663| valid_mse: 1899.79432|  0:00:04s
epoch 38 | loss: 2502.51172| train_rmsle: 1.45646 | train_mae: 44.63885| train_rmse: 46.05935| train_mse: 2121.46397| valid_rmsle: 1.34876 | valid_mae: 41.53843| valid_rmse: 43.42482| valid_mse: 1885.71456|  0:00:04s
epoch 39 | loss: 2493.93506| train_rmsle: 1.43764 | train_mae: 44.4852 | train_rmse: 45.87648| train_mse: 2104.65155| valid_rmsle: 1.35324 | valid_mae: 42.12691| valid_rmse: 43.88065| valid_mse: 1925.51178|  0:00:04s
epoch 40 | loss: 2448.09399| train_rmsle: 1.44023 | train_mae: 44.6427 | train_rmse: 46.03024| train_mse: 2118.78303| valid_rmsle: 1.38633 | valid_mae: 43.00413| valid_rmse: 44.59681| valid_mse: 1988.87547|  0:00:04s
epoch 41 | loss: 2375.36035| train_rmsle: 1.43822 | train_mae: 44.69934| train_rmse: 46.08185| train_mse: 2123.5373| valid_rmsle: 1.39466 | valid_mae: 43.31347| valid_rmse: 44.86449| valid_mse: 2012.82261|  0:00:04s
epoch 42 | loss: 2295.93579| train_rmsle: 1.3984  | train_mae: 44.22635| train_rmse: 45.59211| train_mse: 2078.64054| valid_rmsle: 1.33838 | valid_mae: 42.98067| valid_rmse: 44.40004| valid_mse: 1971.36354|  0:00:05s
epoch 43 | loss: 2244.68042| train_rmsle: 1.3704  | train_mae: 43.90975| train_rmse: 45.26345| train_mse: 2048.77964| valid_rmsle: 1.31827 | valid_mae: 42.96648| valid_rmse: 44.28587| valid_mse: 1961.23844|  0:00:05s
epoch 44 | loss: 2231.06079| train_rmsle: 1.3564  | train_mae: 43.86882| train_rmse: 45.19694| train_mse: 2042.76378| valid_rmsle: 1.29769 | valid_mae: 42.87277| valid_rmse: 44.11161| valid_mse: 1945.83452|  0:00:05s
